ГлубинаМанометра	Dшт	Руст	Рзаб	Pлин	РустКР	РзабКР	PлинКР	Туст	ТНаШлейфе	Тзаб	Tлин	ДебитГазаСУ	ДебитСтКонд	ДебитВодыСУ	ДебитГазаЛУ	ДебитКонНест	ДебитВодыЛУ	Нэф	РплТекПТ	РплТекР	РплТекКарноухов	PсбАтм	PсбБар	Rog	Roc	Row	УдельнаяПлотностьГаза	Gtotal	КГФ
4013.5	11.1	275.6	126.5	99.6	175.0	126.0	100.5	41.0	34.8	 	104.4	189.0	22.0	0.4	1589.9	33.0	0.4	41.4	 	49.4	 	96	94.65		772.6		0.653		90
3553.5	9.0	312.9	233.0	113.4	313.0	233.0	113.4	48.0	32.7	28.6	107.3	289.3	54.8	0.40	1965.0	96.5	0.4	21.0	34.50	48.80	46.80	75	74.41	0.813	778	1000	0.676	3.22	147.35
3553.5	9.5	309.7	228.0	102.6	309.8	228.0	102.5	50.0	31.9	33.7	107.3	314.4	54.4	0.30	2215.4	94.0	0.3	21.0	34.50	48.80	46.80	75	74.41	0.813	778	1000	0.676	3.45	134.5
3553.5	11.1	302.1	217.6	104.5	303.0	217.0	105	53.0	38.9	38.3	107.3	399.6	64.4	0.30	3158.3	109.4	0.3	21.0	34.50	48.80	46.80	83	82.31	0.813	778	1000	0.676	4.34	125.4
3553.5	12.7	292.8	202.0	107.6	292.9	202.0	107.5	56.0	45.1	44.8	107.2	483.4	75.4	1.30	3869.2	128.3	1.3	21.0	34.50	48.80	46.80	85	84.28	0.813	778	1000	0.676	5.24	121.36
3553.5	14.3	282.9	189.6	107.8	283.1	189.0	108	61.0	49.2	48.9	107.1	548.1	84.3	2.60	4505.4	141.0	2.6	21.0	34.50	48.80	46.80	86	84.88	0.813	775	1000	0.676	5.94	119.195
3561.0	9.53	289.7	205.7	101.9	289.7	204.0	101.9	52.7	30.1	29.7	107.4	276.5	90.5	0.16	2222.9	82.5	0.1	21.0	32.45	42.85	42.65	87	85.96	0.827148	775	1000	0.687	3.46	127.64
3561.0	11.1	289.7	201.1	104.5	283.0	199.0	104.7	58.6	38.2	37.3	107.1	349.5	119.1	0.21	2925.9	100.3	0.1	21.0	32.45	42.85	42.65	88	86.55	0.827	775	1000	0.687	4.41	121.9075
3561.0	12.7	274.5	188.9	107.3	274.6	185.0	107.2	62.6	45.5	44.4	106.6	420.5	150.4	0.80	3599.0	126.7	0.4	21.0	32.45	42.85	42.65	89	88.13	0.827	775	1000	0.687	5.38	117.72
3561.0	14.29	266.0	177.4	109.8	266.0	174.0	110.4	66.0	50.5	49.9	106.1	475.3	173.0	0.61	4122.2	140.3	0.3	21.0	32.45	42.85	42.65	91	89.51	0.827	775	1000	0.687	6.1	113.53
